itemlookupcode,brand,description,quantity,out_of_stock_time,time_elapsed
13627,ACANA,DOG GF PUPPY LG BD 11.4KG,0.0,2024-12-16 12:00:00,3.870307921388889
13631,ACANA,DOG GF ADULT SM BD RECIPE 6KG,16.0,,
